Name,Price
"Miller Lite 24Pk 12Oz Cans, 288 OZ",$21.99 / ea$18.99 / ea ($0.07/oz)
"Michelob Ultra 24Pk 12Oz Cans, 288 OZ",Price$21.99 / ea ($0.08/oz)
"Bud Light 24Pk 12Oz Cans, 288 OZ",$20.99 / ea$18.99 / ea ($0.07/oz)
"Coors Light 24Pk 12Oz Cans, 288 OZ",$21.99 / ea$18.99 / ea ($0.07/oz)
"Michelob Ultra 24Pk 12Oz Bottles, 240 OZ",Price$21.99 / ea ($0.09/oz)
"Miller Lite 12Pk 12Oz Cans, 144 OZ",$10.99 / ea$8.99 / ea ($0.06/oz)
"Bud Light 24Pk 12Oz Bottles, 288 OZ",$20.99 / ea$18.99 / ea ($0.07/oz)
"Miller Lite 15Pk 16Oz Aluminum Pints, 240 OZ",$18.99 / ea$14.99 / ea ($0.06/oz)
"Bud Light 12Pk 12Oz Cans, 144 OZ",$10.99 / ea$9.99 / ea ($0.07/oz)
"Natural Light 24Pk 12Oz Cans, 288 OZ",$17.99 / ea$15.99 / ea ($0.06/oz)
"Yuengling Lager 24Pk 12Oz Cans, 288 OZ",$20.99 / ea$18.99 / ea ($0.07/oz)
"Yuengling Lager 12Pk 12Oz Bottles, 144 OZ",Price$10.99 / ea ($0.08/oz)
"Miller Lite 24Pk 12Oz Bottles, 288 OZ",$21.99 / ea$18.99 / ea ($0.07/oz)
"Budweiser 24Pk 12Oz Cans, 288 OZ",$20.99 / ea$18.99 / ea ($0.07/oz)
"Corona Premier 12PK 12OZ Bottles, 144 OZ",$16.99 / ea$16.49 / ea ($0.11/oz)
"Coors Light 12Pk 12Oz Cans, 144 OZ",$10.99 / ea$8.99 / ea ($0.06/oz)
"Michelob Ultra 12Pk 12Oz Bottles, 144 OZ",Price$13.99 / ea ($0.10/oz)
"Miller Lite 12Pk 12Oz Bottles, 144 OZ",$10.99 / ea$9.99 / ea ($0.07/oz)
"Michelob Ultra 6Pk 12Oz Bottles, 72 OZ",Price$9.99 / ea ($0.14/oz)
"Michelob Ultra 12Pk 12Oz Cans, 144 OZ",Price$13.99 / ea ($0.10/oz)
"Michelob Ultra 12Pk 16Oz Aluminun Bottles, 192 OZ",$16.99 / ea$13.99 / ea ($0.07/oz)
"Busch Light 24Pk 12Oz Cans, 288 OZ",Price$16.99 / ea ($0.06/oz)
"Busch Ice 12Pk 12Oz Cans, 144 OZ",$7.99 / ea$6.49 / ea ($0.05/oz)
"Pabst Blue Ribbon 12Pk 12Oz Cans, 144 OZ",$9.99 / ea$8.99 / ea ($0.06/oz)
"Miller Lite 18Pk 12Oz Cans, 216 OZ",$16.99 / ea$13.99 / ea ($0.06/oz)
"Michelob Ultra Pure Gold 12Pk 12Oz Bottles, 144 OZ",$14.99 / ea$13.99 / ea ($0.10/oz)
"Coors Light 15Pk 16Oz Aluminum Pints, 240 OZ",$18.99 / ea$14.99 / ea ($0.06/oz)
"Bud Light 12Pk 12Oz Bottles, 144 OZ",$10.99 / ea$10.49 / ea ($0.07/oz)
"Natural Light 18Pk 12Oz Cans, 216 OZ",$14.99 / ea$12.49 / ea ($0.06/oz)
"Yuengling Lager 24Pk 12Oz Bottles, 288 OZ",$20.99 / ea$18.99 / ea ($0.07/oz)
"Yuengling Lager 6Pk 12Oz Bottles, 72 OZ",Price$7.99 / ea ($0.11/oz)
"Landshark Island Style Lager 12Pk 12Oz Bottles, 144 OZ",$13.99 / ea$10.99 / ea ($0.08/oz)
"Michelob Ultra 18Pk 12Oz Cans, 216 OZ",$18.99 / ea$16.99 / ea ($0.08/oz)
"Michelob Ultra 18Pk 12Oz Bottles, 216 OZ",$18.99 / ea$16.99 / ea ($0.08/oz)
"Bud Light 18Pk 12Oz Cans, 216 OZ",$16.99 / ea$13.99 / ea ($0.06/oz)
"Coors Light 12Pk 12Oz Bottles, 144 OZ",$10.99 / ea$9.99 / ea ($0.07/oz)
"Yuengling Lager 12Pk 12Oz Cans, 144 OZ",$10.99 / ea$10.49 / ea ($0.07/oz)
"Corona Premier 12 Pk 12 Oz Cans, 144 OZ",$16.99 / ea$16.49 / ea ($0.11/oz)
"Bud Light 25Oz Can, 25 OZ",2 for $6.002 for $5.00 ($0.10/oz)
"Bud Light 18Pk 12Oz Bottles, 216 OZ",$16.99 / ea$13.99 / ea ($0.06/oz)
